,OTS:RKNEE:theta,OTS:RHIP:pos-X,OTS:RHIP:pos-Y,OTS:RHIP:pos-Z,OTS:RKNEE:pos-X,OTS:RKNEE:pos-Y,OTS:RKNEE:pos-Z,OTS:RANKLE:pos-X,OTS:RANKLE:pos-Y,OTS:RANKLE:pos-Z
0,100.0499009713069,-146.06072999999992,9.934844999999996,-1.3898930000000291,-140.09848050000005,-152.50608850000003,318.9459224999996,-121.87664799999993,-528.6538850000001,348.626221
1,100.03343745719748,-146.06069950000006,9.938079499999958,-1.376709000000119,-140.0361324999999,-152.488785,318.97876050000013,-122.03079200000002,-528.647743,348.6473390000001
2,100.030958018329,-146.06207300000005,9.924621500000057,-1.3262940000004164,-140.05795250000006,-152.47064199999988,319.02380349999976,-122.05975349999994,-528.634476,348.6135254999999
3,100.0395577644626,-146.0630799999999,9.90908800000011,-1.333862500000123,-140.035797,-152.46015949999992,319.0164794999996,-122.04312099999993,-528.623978,348.60571249999975
4,100.03947904121193,-146.0622249999999,9.91833500000007,-1.3571775000000343,-140.00576749999982,-152.46908499999995,319.00537099999974,-122.03445450000004,-528.631584,348.6353760000002
5,100.03601622615022,-146.06338499999993,9.899749500000098,-1.3666995000003226,-139.99664299999995,-152.4673459999999,319.0023189999997,-122.04766849999987,-528.6299285,348.64501949999976
6,100.03511880542553,-146.06472799999995,9.88241549999998,-1.3531494999997449,-139.9907535000001,-152.46177699999998,319.00720150000006,-121.99978649999991,-528.622414,348.6447750000002
7,100.03182065427166,-146.064026,9.894378500000016,-1.3398440000000846,-140.03466850000018,-152.477356,319.00585950000004,-121.8817140000001,-528.6307225,348.6379394999999
8,100.03843091115414,-146.06375100000002,9.900879000000032,-1.3165280000002895,-140.02896099999987,-152.4572445,319.0228269999998,-121.88824449999981,-528.6117395,348.6430664999998
9,100.0350803705609,-146.06097449999993,9.94220000000007,-1.3221435000000383,-139.93988050000007,-152.4215855,319.0390620000003,-122.05679349999991,-528.5877915,348.67529250000007
10,100.04704278214867,-146.06057699999997,9.949096499999996,-1.3071290000002591,-139.90093950000005,-152.39999350000005,319.05615199999966,-122.11132799999973,-528.571671,348.67468199999985
11,100.05589484919709,-146.060974,9.940063499999951,-1.3282469999999194,-139.87362600000006,-152.38458300000002,319.0458985,-122.1023255,-528.550675,348.7618415000002
12,100.04876499544078,-146.05929549999996,9.964172500000018,-1.3394775000001573,-139.8204045,-152.34503199999995,319.03210450000006,-122.06344599999989,-528.507309,348.8160399999997
13,100.04535570215239,-146.0592345,9.968445000000088,-1.3161624999997912,-139.78274499999975,-152.26695199999995,319.0732420000004,-122.07235650000007,-528.4288784999999,348.88024900000073
14,100.0421174375523,-146.05712900000003,9.998382499999934,-1.3227535000000898,-139.7005305,-152.17926050000005,319.0874024999998,-122.11718700000006,-528.3448870000001,348.9184570000002
15,100.04923826698648,-146.05682350000006,10.0078125,-1.2789309999998295,-139.62127699999996,-152.0708004999999,319.10522500000025,-122.1147155000001,-528.2360914999999,348.98095749999993
16,100.06091599394387,-146.05499299999997,10.031402500000013,-1.3041989999996986,-139.50759849999986,-151.98217799999998,319.08508299999994,-122.13726799999995,-528.1477055,349.04650900000024
17,100.09149438272112,-146.05157450000002,10.078399500000046,-1.3288570000004256,-139.40972950000014,-151.86962849999986,319.0777584999996,-122.1721500000001,-528.0323789999999,349.1665039999998
18,100.0998977359334,-146.04791249999994,10.128509500000064,-1.3494869999999537,-139.13671849999992,-151.81817549999982,319.0860594999999,-122.188263,-527.9838329999999,349.34204100000034
19,100.11310503058154,-146.04370100000006,10.186615000000074,-1.3618165000002591,-139.00549300000011,-151.72018449999996,319.10510199999953,-122.21121199999993,-527.8863144999999,349.4514159999999
20,100.12190908972754,-146.03997800000002,10.238647499999956,-1.3785400000001573,-138.8463435000001,-151.65164200000004,319.1168214999998,-122.23974599999997,-527.8199000000001,349.55737299999964
21,100.13521256094113,-146.03884900000003,10.242279499999995,-1.4625245000001996,-138.64767499999994,-151.58258049999995,319.09143099999983,-122.21423350000009,-527.7512135,349.6339114999996
22,100.14590555684194,-146.038544,10.243194500000072,-1.4851069999999709,-138.46817050000004,-151.51165749999996,319.06799300000057,-122.22226,-527.6806409999999,349.72192350000023
23,100.156848783774,-146.03756750000002,10.262359500000002,-1.448974499999622,-138.30184899999995,-151.4631045,319.07897950000006,-122.23986800000011,-527.636574,349.78894050000054
24,100.17953145484974,-146.03610200000003,10.283141999999998,-1.4503174999999828,-138.19870000000014,-151.43258649999996,319.0770265000001,-122.09497050000027,-527.5986475,349.87121600000046
25,100.19980467747754,-146.03433250000012,10.306732499999953,-1.457519499999762,-137.93380750000006,-151.404358,319.07287550000046,-122.28579749999994,-527.585182,349.94873050000024
26,100.20888968045732,-146.03195200000005,10.331237500000043,-1.523803499999758,-137.7120359999999,-151.3610839999999,319.0072025000004,-122.28082300000005,-527.544365,349.9871830000002
27,100.23383143980183,-146.02981599999998,10.366851500000053,-1.4888920000003054,-137.548401,-151.31903049999994,319.00561549999975,-122.28704849999986,-527.5080565,350.0125729999995
28,100.26646702862521,-146.02560399999993,10.414551000000074,-1.5653075000000172,-137.38943500000005,-151.28240949999986,318.86547850000034,-122.1209409999999,-527.4643169999999,349.98767150000003
29,100.26913577721585,-146.02401699999996,10.434539500000028,-1.5816650000001573,-137.1699524999999,-151.2812499999999,318.78564449999976,-122.09848000000011,-527.4638594999999,350.03576699999985
30,100.30058197565154,-146.02316299999995,10.443359500000042,-1.6000974999997197,-137.16632100000004,-151.22393849999992,318.7452395,-122.06503299999997,-527.4011764999999,350.0496825
31,100.31341426971224,-146.0243835000001,10.447967500000004,-1.4570315000000846,-136.8464355000001,-151.322724,318.8411864999998,-122.09371899999996,-527.513573,350.18615699999964
