,gast:RKNEE:theta,gast:RHIP:pos-X,gast:RHIP:pos-Y,gast:RHIP:pos-Z,gast:RKNEE:pos-X,gast:RKNEE:pos-Y,gast:RKNEE:pos-Z,gast:RANKLE:pos-X,gast:RANKLE:pos-Y,gast:RANKLE:pos-Z
368,172.2205213048583,97.37943565099008,85.08586917569887,866.313378621585,37.386995650993775,8.720234599867174,445.61830853415273,24.188132473942964,-105.3004293205168,16.347584267684557
369,172.36710347157756,97.60351593444207,85.12759260022257,865.7979990528704,38.07797078524051,8.024477407500768,446.25256127451416,24.955827410833624,-105.34374766161928,16.586142086298402
370,172.4078610683288,97.93271794212458,85.0744519934396,865.3568128777698,38.897836951879256,7.4502003997355395,446.80144607580536,25.3486742381511,-107.51677994800126,17.47653737460816
371,172.42490564569493,97.83543328531758,85.3911910404332,865.0825214161379,39.43486696767936,7.26306245257784,447.1622726823907,25.746026546138104,-109.25684031147392,17.977598775233314
372,172.427913828725,97.27853699185016,86.12120068469851,864.9162758578694,39.25592722515253,7.043322835762095,447.43576848882657,26.551183659509654,-109.2753429413187,17.93467651732577
373,172.28158502059816,96.91797884813944,86.54724497565864,864.8402292253891,38.21522336213338,5.998114812590149,447.6588101675809,27.478235159302013,-109.80642292002281,18.31940683054278
374,171.95086749627788,97.10018846677728,86.19418221635088,864.8281086242661,36.80496525622006,4.4471369288648095,447.8557013400967,28.231192575943865,-111.65387931695112,19.505980066002195
375,171.66524387914362,97.32147058936872,85.58166485235216,864.7683356650086,35.836642180633255,3.604945584165303,448.19777370182743,28.943732795693982,-111.91201288036044,20.684690982000795
376,171.63793215241387,97.13376902890053,85.4078946528652,864.6365745281356,35.493853251240196,3.4201160834017426,448.7510234200302,29.386999783144784,-109.96617445703703,21.398683505645433
377,171.7221650279555,96.96284057294048,85.50293418236905,864.6033594627717,35.04376224311837,2.422756167677664,449.18382073645887,28.828747285430605,-110.07135024671335,22.30904345835224
378,171.60630096431487,97.39151222736369,85.26794374112336,864.7730059619178,33.89170297444754,0.5389405690280986,449.17704858875135,27.38254871968834,-113.47426525838118,23.75861631936699
379,171.31381035360047,98.12915241393343,84.72534628384794,864.9678880661612,32.568638961599994,-0.07969672121460013,449.0827381949749,26.30253959953005,-114.2571776422428,24.830042982210262
380,171.20921087816464,98.44770015218053,84.36064190517499,865.0005408058978,32.068177883712615,1.56847489393083,449.6197516069104,26.071510776277453,-108.92706012915073,24.761743141572502
381,171.46453503343784,98.32327844251758,84.21109069576889,864.9896488920848,32.480139403634396,3.371450227273467,450.78067416136076,25.531520213644857,-103.47219876666568,24.217514611238354
382,171.83708490385357,98.35954054402013,83.91708139396539,865.118209400511,33.07099371431164,3.4961538003047297,451.62751023111207,24.020825777625884,-103.16348505880197,24.026259827430174
383,172.1045019034829,98.71409593249773,83.51789248617746,865.2376554658598,33.5625526518898,3.516173068382837,451.53340698486613,22.847193281995537,-101.90966871328465,23.609967479080677
384,172.40920882777635,98.85608968290471,83.40447828732869,865.0927967723712,34.34777859368648,5.544225755257494,451.13318374742903,23.04376082489578,-91.69734146822832,22.061361429558925
385,172.93976397507458,98.43736889930605,83.55183461363501,864.8383311818703,35.38329910625514,8.345018056623198,451.4726997000952,23.17098698061244,-77.30176028423466,20.076227016286737
386,173.51843479951776,97.78103922770707,83.56570160165494,864.8874952367222,35.97900631436795,9.640472990225284,452.5158272759017,21.530942745603518,-70.05544727556489,19.15150164757701
387,173.80357916135665,97.35465273581623,83.4623019784151,865.248437975447,36.00132424939291,10.56595127246047,453.2006588794631,19.378497809027166,-70.42680331889528,19.196532795519456
388,173.75055268462722,97.22063188535714,83.60974652458792,865.4763343049137,36.1341758829778,13.75401303644066,452.9636183391652,19.27800994238734,-69.01517984112954,18.75775868048316
389,173.56977945779923,97.17746368020362,83.86617419694784,865.3731138157297,36.38483335278225,17.890657811177054,452.51541541403367,20.922429339897285,-63.13134731701727,17.699397969311484
390,173.31819722940952,97.11637475102816,83.62602101529696,865.2693312904778,35.50574989989997,18.614429961486206,452.8515685387011,21.487664269343668,-59.86338295665531,17.774839155331367
391,172.8468816017704,97.08415657537701,82.88056314527005,865.4283357978601,32.79994081647385,14.904408578535229,454.03758913977856,20.07804489796017,-62.634323211924325,19.96003472858227
392,172.14831951737497,97.18917160027628,82.38747021191477,865.6105892994126,29.50456002792029,10.364433838851866,455.36995148590466,18.849449165727716,-66.97683735439053,22.96105557154978
393,171.4731800443162,97.511395873169,82.51412917491213,865.514760176424,27.287047112955204,7.574724423181728,456.3424950835898,19.176699489613355,-71.10940512547464,25.293721207839017
394,171.03562323540172,97.96711313595996,82.72829176941956,865.2833426131173,26.16481253256809,5.315137921540753,456.95857241620865,19.592514042219683,-78.76085411615459,27.230358927085433
395,170.8054171964687,98.29224650665275,82.59505020220791,865.2264826323656,25.105313414459918,2.5537665738808504,457.31911054939025,18.719374353502463,-88.49158708663575,29.372983591714743
396,170.65668537146794,98.31384056673824,82.45834664086593,865.3219536963381,24.006198933974,1.1086024625463375,457.44753594984,17.72952126256334,-91.38994803641688,30.711938789869613
397,170.5548205948298,98.17410349437876,82.6366916958894,865.3614627431703,23.68816272950708,2.2872465667277333,457.5154113601382,18.22042180387339,-83.96320675629639,29.926429799531828
398,170.52482485999914,98.12527458201367,82.72088873823121,865.3939698693233,24.293173084421458,4.195049219864115,457.80339409202287,19.58422644991764,-74.01672272606707,27.82911086489353
399,170.57130251838495,98.19573382897862,82.3174838636439,865.6378340894018,25.088812407121804,4.757609472626712,458.3262168988568,20.29303298740511,-69.12173240391522,26.616896923732448
400,170.70801171091347,98.24320381686871,81.82649454576365,866.0510546655657,25.780514579032943,4.878156344722664,458.7649045473012,20.316955799559736,-67.57021396356141,26.90665957254857
401,170.96969289303547,98.24477106934825,81.74652474860264,866.3499631852511,26.75682589994761,6.3277953488477365,458.8730729164918,20.453145509628985,-65.24387442020432,27.23123081598439
402,171.32169690983656,98.32219518473288,81.75793393857363,866.439449511336,27.960489636604734,8.583401639166729,458.79596592776977,20.410424988872435,-63.24470602114837,26.609624099836825
403,171.6179558134723,98.52499664612772,81.29612119018148,866.5248721387463,28.65844290150476,9.926357863302085,458.92979933376006,19.439254124043973,-63.26553535860443,26.02661905826018
