,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
0,97.44022570898994,-22.66915260911116,-140.30688148717633,-19.411981743943684,291.42632155768763,-50.74509207835404,-179.4809690881913,310.70890770969373,312.2301454909922,-87.21908431688817
1,111.87606793979678,-24.478733639746377,-162.7573430801302,-25.527150636068395,344.6540288022938,-70.2389200261971,-215.82691305741085,367.78746329261753,356.3088810879319,-113.47472382654324
2,97.9963103652852,-19.75402667162483,-143.76544506362256,-24.33093127675994,315.1790862315397,-74.329220364997,-195.19926594035013,341.19784995313404,307.8373878342985,-104.16089776016696
3,91.28149794881313,-18.569990025154585,-132.01105654534044,-21.772580531057518,291.4333709745875,-66.97683957668117,-183.09032805057848,323.2866939532712,287.13065529034606,-96.4144158192528
4,101.0577983880242,-22.27515463674429,-141.9995948922352,-22.45725145468735,302.6057951230835,-59.673281553547845,-204.02148565871477,343.62970036898577,321.7464554980179,-115.77069473489998
5,108.08358000018507,-23.584717409404305,-149.4612170697725,-24.912688316279116,313.19303659183447,-63.24419090191428,-221.48894351976216,366.94517525613304,337.6899550410444,-143.31128254955317
6,104.77100061713551,-20.0732892885053,-143.35371771409464,-26.287000954560906,306.9779541928994,-71.58327368683814,-210.7910657956575,376.233840301166,310.3593190896284,-150.0460001561822
7,104.93720471181614,-17.379973728054516,-138.90943761034802,-26.44592602374944,302.7205855684082,-61.67818128851202,-192.04283954110997,384.8977121621544,303.93000892382565,-134.46705229646238
8,114.53475280270312,-18.41689909488305,-143.07478113262886,-26.009324470982982,305.7629336972835,-25.58902139911465,-184.23479748854504,392.779355010445,349.5074728615957,-112.027379457604
9,121.14798954246766,-18.914971634212,-144.27312262667084,-24.604032693676718,303.7990817528595,8.187138004495273,-177.4308727437504,389.0122353852506,389.5956722366872,-91.99019444937656
10,117.42538944058958,-16.336550368407757,-138.70439918306965,-22.687622873136863,299.6471155568078,8.860608480655701,-163.86121388197583,381.3255231517282,378.19094149661964,-78.73738155190328
11,112.87894266295378,-14.961136027861885,-137.32720990329116,-21.912207135354574,303.5610634000986,-10.234579095671386,-155.9410186453307,381.01359613776634,352.7621899407689,-76.38293109816325
12,115.86718772864798,-18.01170143751874,-143.2731351391571,-22.647002986473577,306.2184389228928,-10.625944044513856,-160.0687579900759,379.4644141220426,362.1280277164584,-81.46930208467388
13,120.95656748706382,-21.394725781246716,-146.2440730690786,-23.812187187430435,296.0204496970129,10.419287098992907,-165.7686869052184,371.66696409324146,387.157941843273,-87.38056574951314
14,120.966633241653,-20.220632728280496,-142.459603705874,-25.30498903809885,286.5356838024367,16.38590466218382,-170.59268850624113,375.85634677838124,383.4509801177255,-99.27633281356411
15,118.31149130513126,-16.55775382504373,-140.10264115198524,-27.67701730949877,293.70151170488043,-7.100591353313308,-185.15618963613753,399.7195061548188,356.81510477795126,-125.26933264097187
16,117.85692845181774,-15.549866998376139,-142.54635089813377,-29.756664151430517,304.6353379092279,-29.270880027400167,-206.43535162957622,417.3934356213602,344.85178929989416,-154.07641301019194
17,118.56289119765327,-17.49026016315329,-143.5448305382459,-29.916032155354216,300.17622196937464,-26.816485154949465,-216.56839266707743,410.07135983197446,352.3650686696185,-166.73725405560677
18,118.07616977896349,-18.95182385735237,-140.99110088841638,-29.21785987002875,288.27571564092307,-18.779663777817706,-214.6103524529273,398.60253876000235,353.0843707000676,-169.24063362781413
19,118.17416936109137,-19.244433936574524,-140.34921441459008,-29.826092446105523,285.1224722078113,-26.405479043471885,-219.6414657951715,406.0476850357182,340.3393821066353,-184.36325783841173
20,120.5658574343479,-20.410230691639665,-142.92310207671784,-31.147309415836055,284.2367315166771,-35.9431598196686,-236.63225760302078,418.69544992680864,333.4089442776081,-211.96920330855463
21,122.50736045095901,-21.98656586904189,-143.68104383803703,-31.449276310311557,274.4337625228639,-30.92756891279303,-248.98386585409537,414.6311496326228,338.21787861455743,-229.9418967712183
22,120.8184528912396,-20.96626942968845,-141.60792661598475,-32.016478812093084,267.64074730910164,-27.74637471803365,-250.18417354265583,402.18631198982507,338.24814847276394,-234.14150535169463
23,117.02530222826803,-17.35146687323927,-141.06178088786027,-34.78070429664063,277.6177825700979,-43.51692591896392,-252.47175248181225,399.61557430436756,327.8873834866655,-240.72911743234022
