,OTS:KNEE:theta,OTS:HIP:pos-X,OTS:HIP:pos-Y,OTS:HIP:pos-Z,OTS:KNEE:pos-X,OTS:KNEE:pos-Y,OTS:KNEE:pos-Z,OTS:ANKLE:pos-X,OTS:ANKLE:pos-Y,OTS:ANKLE:pos-Z,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
0,100.34312945944085,-145.9253235,11.816345500000011,-0.7545165000001361,-137.6121824999999,-154.4138794999999,315.6545409999999,-123.35809349999988,-531.0438154999999,341.54455599999983,97.44022570898994,-153.67465277174506,0.1780079538139887,-24.701441468096306,-133.01642947924324,-187.21627078755347,114.56878300161344,-165.15013894250865,-565.1311810157513,242.91305258868383
1,100.33934597090509,-145.9300535,11.756683499999896,-0.7741700000001401,-137.35852049999994,-154.44805900000006,315.72180149999986,-123.27136250000012,-531.0862730000001,341.5687254999998,111.87606793979678,-142.24249566507865,20.445589918204718,-26.496992923093273,-138.900449831835,-165.8001884967256,51.00027261011513,-142.13582075544298,-606.4622058999355,303.3476667243451
2,100.3472546647375,-145.9334715,11.71011349999992,-0.8371584999999868,-137.4006350000002,-154.4587705,315.7365725000004,-123.18200750000004,-531.0884015,341.63122550000026,97.9963103652852,-149.34349774556398,3.1555211481253025,-20.57455437647292,-133.83827704658364,-162.88514182460074,86.7337237670971,-158.6931978018985,-559.7949444137688,277.0558329636841
3,100.34973772494804,-145.93634049999991,11.668579000000022,-0.9000240000000304,-137.0576785000001,-154.51052849999996,315.7995605000001,-123.09075949999988,-531.147385,341.7369385000002,91.28149794881313,-154.82002109897687,-7.529952018525435,-19.181318602723948,-128.00807440584578,-171.5166541746517,112.34716954969042,-167.55809803566385,-540.1432003813276,258.4868059378027
4,100.35743340106568,-145.937134,11.658905000000004,-0.9071045000000596,-136.9666135,-154.4818725,315.8670649999999,-123.06823700000018,-531.1165235,341.87792999999965,101.0577983880242,-150.62838411452927,1.333221298571317,-23.405328015798567,-121.15528257284579,-179.61287500273173,89.9023743319936,-144.4169753632179,-570.0375981081929,282.0997365800247
5,100.36289374826694,-145.9394535,11.626159499999972,-0.9539795000000596,-136.77349850000007,-154.42797900000005,315.9316405,-122.947632,-531.0553595,342.0972899999997,108.08358000018507,-146.20661498251746,7.86482369300964,-24.503534854819463,-114.86627626053041,-176.67148671085818,70.36395591750966,-120.21016433478857,-580.2007977751255,311.5451130665341
6,100.38058852024903,-145.94143699999995,11.603485500000032,-0.9180904999998348,-136.62829549999992,-154.42178349999995,316.04809600000044,-122.90231299999982,-531.047546,342.2983400000003,104.77100061713551,-147.54633105043865,2.345138297814458,-20.115067576713177,-117.36139996770108,-168.03134732080105,82.26918534518387,-124.71998150530314,-553.3931960009272,323.36092523807906
7,100.39431568707852,-145.94406149999986,11.57028200000002,-0.9227295000000596,-136.66348300000004,-154.36645499999997,316.0784914999999,-122.84661899999992,-530.9751435000001,342.5507815000001,104.93720471181614,-149.33563869991062,-1.4939318419349945,-17.09998049273597,-129.71895760060988,-176.42946031074962,97.90550518948476,-143.1819053457295,-552.7157300924044,327.58001628955867
8,100.38803090833191,-145.9460755,11.546448000000057,-0.8994139999999788,-136.37600699999984,-154.37780750000002,316.19506850000016,-122.81256099999996,-530.990051,342.7684330000002,114.53475280270312,-148.41656074701544,2.424795859223252,-18.65394018060897,-142.72731899731332,-211.0274400847539,100.43753869730665,-151.8932610714025,-603.380521612781,327.1855397765697
9,100.39171514861616,-145.94842549999998,11.514434499999991,-0.9283445000000938,-136.42248500000005,-154.31625399999996,316.2884519999998,-122.78424050000012,-530.9170455000001,342.97570799999994,121.14798954246766,-149.25475264732196,3.7482088726262646,-19.75164501541527,-151.33594489565002,-243.97643999578472,106.02627875709572,-157.1096269394891,-646.7517267106587,316.4863903734797
