,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
0,94.30163697441752,9.012494,-143.71793,-37.325962,340.53995,-92.9787,-210.27988,350.98947,286.80664,-142.00516
1,99.39906862370057,9.033387,-144.51604,-34.429893,338.8204,-72.49113,-198.20474,367.77042,301.74957,-118.86067
2,99.81230872886468,11.576227,-144.01836,-34.252533,349.34805,-71.062454,-183.703,374.89178,305.5775,-107.45537
3,101.28596302342996,11.340762,-142.88202,-31.466362,350.79968,-61.411583,-170.53433,381.52307,310.9723,-80.61979
4,96.64505438808139,10.544032,-142.06749,-34.88069,348.1364,-83.99962,-201.96591,370.07776,298.41742,-127.72041
5,98.69157713890314,10.728304,-141.99254,-34.976482,348.36948,-70.48854,-192.89445,368.22034,310.2412,-119.096855
6,94.55982495523318,9.458243,-142.38116,-36.817005,344.09216,-96.2376,-213.96819,364.25974,286.98636,-142.85931
7,95.26730960984143,11.44586,-141.75471,-35.904503,353.5627,-87.19205,-194.75949,368.5736,294.65115,-117.16245
8,95.16008247006141,11.049558,-142.282,-35.0957,350.1626,-96.94829,-201.4091,373.50766,284.96436,-129.78703
9,96.01082351232151,11.086319,-142.08429,-37.576622,348.3407,-93.088554,-208.83856,373.74203,290.35504,-140.15742
10,97.02548909466194,10.224603,-142.32104,-36.402954,346.57788,-90.333206,-208.22083,376.48126,292.6699,-139.70428
11,98.93938323218038,11.631146,-142.58533,-35.2593,353.46536,-81.8238,-189.64377,385.87277,298.73743,-116.811516
12,99.78218076443575,10.799787,-141.83336,-34.96512,350.98175,-82.59,-195.4754,390.92087,299.12946,-127.075195
13,97.0589092102708,11.3470335,-141.57567,-35.433605,353.67508,-87.24372,-194.88507,380.77695,295.37592,-121.178154
14,97.4396034640398,12.248858,-141.5937,-36.068573,355.54666,-84.55592,-192.83354,377.29953,300.19073,-128.38368
15,95.49033577680986,11.913656,-141.43658,-36.791214,354.47815,-96.41683,-202.78123,380.10712,289.0418,-132.11473
16,99.10328728169317,10.360826,-141.88078,-38.405693,347.04703,-86.57926,-209.53929,383.3074,298.08044,-151.76123
17,98.01247875048546,8.328929,-141.03394,-37.828,339.898,-76.04706,-218.3833,366.3626,308.78125,-147.27727
18,99.97363096687121,8.454016,-141.22253,-36.541378,342.52,-70.62446,-205.50534,373.87787,311.293,-136.01244
19,97.55655679319793,10.086627,-140.13118,-37.906273,349.4409,-81.60859,-208.56676,376.41367,304.66122,-138.9833
20,95.81844440415894,12.131223,-141.49448,-37.81417,357.18472,-86.64095,-191.65448,368.9585,298.02817,-126.29034
21,95.99932830394839,10.066989,-141.61545,-36.489754,346.562,-77.656525,-202.90294,364.2808,301.56808,-114.54799
22,95.84605202878413,10.050504,-141.9497,-36.277584,345.769,-72.62329,-199.98903,357.35226,304.9313,-108.228485
23,97.6304047985041,9.4671955,-140.06041,-30.482061,348.89777,-50.329975,-169.96585,353.80054,319.35562,-59.034004
24,98.81958854432752,8.030331,-141.44725,-32.350662,344.62598,-59.757084,-187.02417,363.54413,316.38626,-93.14699
25,97.46068825800764,9.277972,-138.6255,-30.454699,353.4698,-60.97165,-174.67651,367.76782,314.83588,-71.994934
26,96.31614662859943,7.659929,-139.72473,-31.00312,347.58466,-63.859978,-185.37534,359.54233,311.19302,-80.5099
27,98.93676043953909,4.939089,-137.48457,-21.842443,341.317,-41.373035,-164.32872,361.89835,320.85413,-30.644222
28,99.57808105165743,7.1470814,-137.95197,-21.86591,348.92657,-43.513054,-155.95691,370.0578,322.21417,-27.18456
29,97.34169953247684,7.538732,-136.15916,-19.512493,353.12076,-56.93434,-152.6935,377.2269,305.2519,-15.681654
30,99.01743180382611,1.842903,-134.95357,-18.959927,337.08597,-38.288773,-174.68526,365.22543,327.83112,-37.573048
31,101.01767319283185,3.003412,-134.3798,-20.997911,340.90173,-31.397633,-170.27454,370.00687,339.50894,-41.764782
32,100.11076750502673,1.270676,-134.91702,-23.218027,337.10886,-50.18618,-189.17522,381.74963,322.50595,-68.71449
33,97.35219070304198,0.949529,-135.03105,-25.761644,333.21838,-56.199318,-200.5816,361.5608,319.9203,-87.67551
34,96.99357845085963,-4.458056,-138.1144,-24.540796,311.73196,-61.067635,-223.21101,351.2286,311.0193,-107.569145
35,98.15840574210277,-5.608211,-138.96536,-25.948338,305.85657,-49.73163,-225.31609,341.17584,321.5338,-109.69458
36,99.26369427435091,-7.2185683,-140.65814,-23.386776,297.02203,-65.3934,-236.98383,360.57278,303.19495,-127.94898
37,96.56164411793719,-6.6619906,-140.17377,-28.703955,299.92255,-62.385628,-249.48993,333.54266,319.87552,-147.401
38,98.59245060347874,-5.711555,-142.54668,-32.90107,308.3972,-81.59725,-248.03409,359.31705,304.6417,-170.6188
39,102.93623917974259,-12.423378,-141.44806,-31.559523,276.09546,-66.34422,-275.31815,356.17233,315.25098,-203.20335
40,95.09768186180418,-8.39519,-139.59729,-23.792877,306.20038,-66.6259,-233.70418,338.4462,311.50598,-118.586044
41,97.5168392431743,-11.173393,-139.63132,-22.221647,303.9325,-50.78601,-220.9989,346.75522,317.33377,-87.84309
42,97.47890437252406,-12.387115,-141.89178,-21.285475,302.25723,-52.088127,-217.01225,336.68774,317.70465,-91.40311
43,101.54635715534752,-15.74598,-142.25473,-20.641651,287.8262,-40.99963,-228.41788,343.90085,329.03802,-110.40277
44,102.21424720333721,-18.348995,-142.55396,-23.244152,269.27014,-40.468773,-253.80609,333.5639,332.5168,-146.5326
45,106.93595014637786,-18.07293,-142.6902,-22.611223,273.15524,-39.237038,-248.3423,365.27414,331.6553,-153.93263
46,105.69464522699808,-19.745544,-143.66325,-21.313604,268.4625,-45.319004,-249.6289,359.54095,322.6285,-152.6126
47,112.7249589396922,-24.586704,-146.3538,-18.576105,254.88219,-24.545431,-241.41371,368.16144,336.5762,-155.94823
48,111.96608394176877,-23.676247,-148.04794,-18.857906,270.43936,-35.25167,-225.18982,379.37552,325.62006,-136.92403
49,114.96354660997471,-26.834417,-147.85036,-20.55853,253.75888,-19.317717,-238.12517,368.402,343.65033,-160.41023
50,112.27043034099538,-25.39078,-149.67236,-24.346209,268.6279,-60.04052,-243.08286,389.1841,304.521,-185.44243
51,115.03050295440835,-29.763569,-151.9229,-18.825438,255.32494,-32.72339,-232.78964,370.73013,329.93076,-164.37318
52,116.51661551401972,-32.07548,-153.45045,-17.967957,247.27988,-24.905815,-229.13353,361.22128,334.823,-161.73279
53,115.24568123402044,-34.389946,-155.19182,-14.697284,229.03096,-20.23536,-233.70981,336.46738,334.05017,-157.23514
54,118.28567549018805,-34.376564,-156.93936,-18.67644,246.66023,-30.226677,-218.81366,362.7749,323.74365,-159.88007
55,115.72952500463497,-34.42647,-151.80147,-13.606605,256.05844,-10.405824,-194.24318,352.92422,344.42325,-98.76035
56,105.60775156037718,-38.80685,-156.05411,-18.966171,225.71332,-24.362907,-233.46448,268.02618,333.74405,-132.88138
57,111.20917603832629,-37.17205,-157.55382,-24.113302,223.0257,-66.63961,-267.68997,311.50317,299.94757,-242.81953
58,111.1263599946399,-35.783306,-160.67162,-22.682175,249.9434,-68.68074,-234.82361,336.2689,296.84277,-195.85811
59,112.32410196749333,-38.775623,-158.8737,-23.95706,239.23996,-65.97994,-250.06831,326.5899,303.56573,-227.41927
60,112.4011396711419,-42.78301,-161.76678,-23.427338,223.50949,-41.02391,-248.26877,281.4333,331.72955,-216.17142
61,108.76227442854757,-41.270676,-160.14874,-14.858332,235.50725,-35.785244,-212.92989,289.01483,322.60287,-131.65775
62,105.31805591692026,-38.84872,-156.53389,-13.635225,256.79395,-27.713924,-183.9634,283.64615,329.77365,-78.38205
63,112.38470623599885,-41.022682,-159.11705,-13.04434,244.96686,-14.593169,-183.9893,295.14273,344.02936,-97.980774
64,105.17344715181275,-44.200897,-162.33838,-16.477108,221.69144,-25.303156,-221.41866,222.9777,339.2401,-148.18808
65,111.27475951473676,-45.732327,-161.70245,-13.793642,215.29532,-5.5984855,-209.24213,237.85254,357.21924,-137.9614
66,111.52526353273615,-46.836536,-160.61826,-14.7968025,198.84087,17.816126,-218.74243,201.42651,384.67325,-141.38493
67,108.19240442533673,-42.978497,-157.83054,-16.489866,221.59763,20.982384,-199.80524,203.7227,386.15735,-106.089035
68,114.23057168938396,-45.180332,-156.74251,-16.189535,213.4807,23.542107,-207.2577,235.10426,392.48694,-129.01326
69,116.5926286892928,-42.791157,-154.9071,-16.766739,218.58415,41.66828,-193.63315,237.05945,413.80173,-111.722626
70,118.20964182434747,-41.255127,-153.4148,-18.566065,219.16803,56.86699,-187.5344,224.48505,434.3625,-113.16797
71,122.6134472728482,-38.680244,-149.43076,-21.807983,218.78162,78.626755,-180.87291,223.58195,463.18073,-121.42286
72,127.89881157714416,-39.643257,-150.10953,-17.31307,207.07063,94.51183,-169.87125,233.9035,478.6928,-106.71252
73,126.25834015738508,-37.45709,-147.03004,-16.716757,208.38824,99.34908,-172.19742,235.7217,482.279,-91.131775
74,131.15380994310001,-36.220272,-147.20804,-18.553453,195.44952,124.20101,-155.17426,212.86232,510.41745,-82.43685
75,126.96951311414514,-31.582813,-146.24654,-22.704903,214.24294,120.04952,-145.40828,205.986,505.64526,-64.232956
76,135.00875163518228,-37.494106,-145.98987,-19.50669,171.62451,147.32341,-150.37779,185.46457,534.4833,-77.12732
77,135.69951257160778,-38.867428,-146.46977,-19.927044,169.57259,149.20447,-149.15213,185.67204,537.33295,-76.081215
78,138.7183434866321,-38.34041,-146.03766,-19.141178,151.59102,166.09998,-142.06982,162.65741,555.95874,-69.81728
79,137.45210154659262,-38.378677,-144.5192,-18.935959,152.07495,169.80115,-143.71451,155.9632,561.6284,-66.12344
80,138.36609355566162,-37.622047,-143.59871,-18.710814,148.16331,177.5692,-137.64868,147.56244,570.7718,-58.745228
81,139.29862611323261,-36.72225,-140.77681,-17.265957,153.48499,181.03491,-130.52866,161.14194,574.5266,-49.958176
82,140.66548698503016,-37.868603,-142.24655,-15.704399,143.87659,183.50397,-125.88995,156.00395,574.2745,-42.224766
83,142.3870805615615,-35.821735,-142.29358,-14.134665,145.99559,184.13748,-107.18973,175.63266,565.71924,-7.307209
84,146.01682067142468,-35.841618,-141.50366,-13.294879,129.9131,197.32338,-92.091354,161.62994,578.5263,9.202496
85,143.10376889607633,-34.470898,-140.40002,-16.231407,132.10658,196.43494,-105.01378,146.05124,579.43604,-4.1414723
86,144.3066266806181,-32.039787,-138.721,-17.438295,137.86519,199.29262,-101.11507,157.39369,584.29944,-2.5593266
87,145.01066208969553,-32.186485,-139.96243,-14.811477,126.30278,202.26715,-84.82253,145.16956,578.6861,29.73096
88,144.9001735345868,-30.405504,-142.72981,-15.469981,121.35458,199.08401,-77.39464,133.73396,568.611,43.852703
89,149.20116756060594,-31.633474,-143.4081,-16.79037,104.43073,206.55457,-78.39639,117.145775,583.84656,21.38006
90,150.6138248507884,-30.322454,-143.63802,-19.591848,88.4093,211.26608,-85.78386,93.13892,590.42145,5.0111713
91,152.23019765560838,-29.540491,-143.19472,-19.353657,83.756165,215.90097,-76.20676,93.25787,594.76355,19.321404
92,151.69714920221307,-26.788305,-143.82175,-19.855963,88.20201,213.87769,-69.82047,91.94896,589.85236,30.771278
93,156.5185319260009,-26.346724,-141.84341,-20.548882,74.2487,222.02551,-59.892788,86.93428,600.86035,29.7282
94,154.83068972925318,-23.643856,-139.82657,-26.333761,76.45344,223.80421,-80.34546,78.35738,606.18665,1.2702122
95,156.58428103449873,-20.461868,-140.08838,-27.938828,84.88776,222.70224,-78.9284,98.27194,606.3712,-4.385963
96,156.9933171582287,-20.624348,-137.27907,-26.824741,74.332886,229.67542,-71.83125,79.72321,612.97235,7.998351
97,156.69385946690053,-18.029182,-138.46692,-28.311165,84.85624,227.10242,-73.57207,91.85161,611.977,3.8143284
98,160.95873032994675,-19.405249,-136.16164,-27.204224,63.382954,236.10492,-62.79438,80.84365,621.6471,11.763778
99,160.51163639216148,-17.092901,-136.88808,-27.429113,66.49136,235.0555,-61.707108,78.283134,620.56915,13.561383
100,164.20588251609357,-17.934797,-135.69582,-25.485909,50.368656,239.70685,-45.796703,71.907364,623.856,29.533842
101,162.67375326449653,-17.2829,-135.02795,-28.933247,51.30691,241.29195,-61.514572,61.770977,629.23706,7.5153446
102,164.6852371448761,-14.94856,-135.02771,-30.142979,44.643692,242.80763,-56.611008,55.89449,630.74817,8.457512
103,163.74548849244698,-11.740618,-137.72633,-30.437965,57.592743,237.2814,-57.051353,67.91559,624.0553,8.391697
104,165.77574002511847,-12.660258,-136.44797,-30.818586,38.617252,242.13503,-51.357037,45.81022,629.2701,13.507366
105,165.65144936524445,-11.174383,-138.18431,-30.632612,46.993248,238.67274,-51.32618,57.724823,625.1346,12.183152
106,167.60953311914557,-13.0154085,-138.05092,-30.93831,29.53701,241.22173,-48.289486,40.628784,628.2195,11.942551
107,166.4867499111121,-8.186327,-140.24402,-30.97565,37.703194,236.464,-46.59199,39.68933,620.5737,17.14654
108,166.7471833166174,-8.6405525,-140.31598,-32.95683,31.782974,237.30707,-51.6382,29.039656,622.5129,7.54318
109,167.0970008464697,-9.483477,-140.95712,-30.529253,24.69325,236.33823,-38.168484,19.750463,618.1903,31.409204
