,gast:KNEE:theta,gast:HIP:pos-X,gast:HIP:pos-Y,gast:HIP:pos-Z,gast:KNEE:pos-X,gast:KNEE:pos-Y,gast:KNEE:pos-Z,gast:ANKLE:pos-X,gast:ANKLE:pos-Y,gast:ANKLE:pos-Z
435,100.19647954892122,84.205154,104.28812,855.3612,-245.62007,294.59506,817.34204,-251.17984,346.43182,431.77783
436,100.66413577120282,82.979065,105.42643,855.52826,-249.11346,291.35275,815.2074,-258.4,338.5345,433.52362
437,100.34383405007507,84.22462,104.768974,855.6247,-249.57,291.92932,816.0975,-250.92613,350.15216,442.57996
438,100.00882693166429,84.78216,104.7832,855.7397,-252.62743,284.94418,815.9212,-254.30373,339.1583,443.19678
439,100.17626901916715,83.93313,105.15657,856.32874,-253.34975,285.51404,817.0628,-252.5334,347.63068,448.1327
440,99.45027455190815,84.28584,105.058136,855.7833,-254.79996,284.72055,817.38184,-259.509,328.42523,444.78595
441,99.67551370016767,86.27809,103.41871,855.56085,-245.3895,296.43616,819.62146,-249.63158,345.25266,451.3861
442,99.8096176343317,86.9012,103.318695,855.2444,-246.95119,291.05002,820.34985,-255.52708,337.40497,449.1682
443,99.92241137828529,87.962944,101.9149,855.66925,-243.1919,296.02472,823.6018,-254.93065,343.28568,448.97614
444,100.18503215187228,87.72167,102.05438,855.48,-246.07631,291.44623,823.89056,-257.81366,344.9163,446.5115
445,99.79789019952679,87.59851,102.15586,855.4251,-243.5763,295.04437,826.4811,-254.85036,348.05792,450.59683
446,99.98395821289627,87.056564,102.33661,855.4436,-245.05621,294.28107,827.13794,-258.40436,348.0598,449.69754
447,99.5492781439275,85.276184,103.81408,855.59485,-245.48543,296.1076,827.02374,-255.93073,348.2821,449.27017
448,99.60335275158648,82.9937,104.956436,855.89545,-245.80109,295.0655,827.7137,-254.47229,352.20862,447.63635
449,98.92975266545065,81.30217,105.744545,855.31055,-243.40295,298.84274,831.7814,-252.80112,354.35516,447.68768
450,98.06515999955376,79.24657,106.5868,856.2537,-244.70749,299.46002,837.26666,-252.47604,356.188,447.68845
